Feature ID,Taxon,Confidence
017ac81c155cd604ee9c05a86d886c79,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiophyceae_Clade_B4;Prymnesiophyceae_Clade_B4_X;Prymnesiophyceae_Clade_B4_X_sp.;,0.9998845621857289
0186d6d7c542ab95c7a839c83b1039f2,Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II_X;Dino-Group-II_XX;Dino-Group-II_XX_sp.;,0.9698540457336525
0189227a592ca1362e656d6d2b3fd50a,Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-16;Dino-Group-II-Clade-16_X;Dino-Group-II-Clade-16_X_sp.;,0.9999992933520839
0197a816fade12a89f9f1d5bc0e214a6,Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-6;Dino-Group-II-Clade-6_X;Dino-Group-II-Clade-6_X_sp.;,0.9873973554249205
01a87e0e6066ad4f534d751da9788ffc,Eukaryota;Archaeplastida;Chlorophyta;Prasino-Clade-9;Prasino-Clade-9_X;Prasino-Clade-9_XX;Prasino-Clade-9_XXX;Prasino-Clade-9_XXX_sp.;,0.9999999996667839
01b3d4cd71a06db4663aa56d4113993a,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae;Chloropicales;Chloropicaceae;Chloroparvula;Chloroparvula_B2_sp.;,0.9999999867947055
01b9667d70fcb871dbdb0b96bacecb9e,Eukaryota;Archaeplastida;Chlorophyta,0.8736725164076248
01bdaa16a8ebb1e621d3629567d120dc,Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;,0.990211831893612
01c98b5caebe4fefe15c468740628678,Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;,0.9999471584826577
01cc9b9b71e01da74550f2a2130caa61,Eukaryota;Alveolata;Dinoflagellata;Dinophyceae,0.9999007527613039
01cd4bfd6419bd72a0fbe180cf5ded5a,Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II,0.9962460791617855
